tick,event_time_ns,monotonic_ns,vehicle_speed,vehicle_speed_valid,external_stop,autonomous_enabled,lane_confidence,gps_valid,lidar_valid,avoid_updated,avoid_maneuver_done,avoid_path_n,avoid_generation,avoid_age_s,avoid_timeout_s,obstacle,avoidable,ttc,avoid_x,avoid_y,avoid_yaw,avoid_k
52,1789393210638912296,46109691452573,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
53,1789393210648916110,46109701456376,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
54,1789393210659092966,46109711633239,-3.849850296e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
55,1789393210668920547,46109721460823,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
56,1789393210678935575,46109731475844,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
57,1789393210688926660,46109741466918,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
58,1789393210698959702,46109751499972,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
59,1789393210708943570,46109761483829,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
60,1789393210718931905,46109771472173,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
61,1789393210728934391,46109781474643,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
62,1789393210738960856,46109791501119,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
63,1789393210751411728,46109803951988,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
64,1789393210762621498,46109815161660,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
65,1789393210768981935,46109821522185,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
66,1789393210778932450,46109831472724,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
67,1789393210788988024,46109841528206,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
68,1789393210798946291,46109851486522,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
69,1789393210808953888,46109861494153,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
70,1789393210818958019,46109871498274,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
71,1789393210830046375,46109882586643,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
72,1789393210838915864,46109891456138,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
73,1789393210848914082,46109901454356,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
74,1789393210858878863,46109911419133,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
75,1789393210869003112,46109921543295,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
76,1789393210878983582,46109931523856,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
77,1789393210888930824,46109941471100,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
78,1789393210898934870,46109951475130,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
79,1789393210908932027,46109961472300,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
80,1789393210919003308,46109971543563,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
81,1789393210928908070,46109981448340,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
82,1789393210939003030,46109991543290,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
83,1789393210948986687,46110001526939,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
84,1789393210958932424,46110011472693,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
85,1789393210969002855,46110021543111,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
86,1789393210978937795,46110031478056,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
87,1789393210988960630,46110041500900,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
88,1789393210998935646,46110051475908,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
89,1789393211008932160,46110061472428,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
90,1789393211018982913,46110071523176,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
91,1789393211028934198,46110081474470,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
92,1789393211038954505,46110091494695,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
93,1789393211048952718,46110101492978,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
94,1789393211058932272,46110111472532,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
95,1789393211068964112,46110121504381,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
96,1789393211078968816,46110131509078,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
97,1789393211088923291,46110141463451,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
98,1789393211098928148,46110151468413,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
99,1789393211108937459,46110161477719,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
100,1789393211118956259,46110171496538,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
101,1789393211128932244,46110181472511,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
102,1789393211138956807,46110191497075,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
103,1789393211148939356,46110201479631,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
104,1789393211158935960,46110211476234,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
105,1789393211168927936,46110221468203,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
106,1789393211178927986,46110231468252,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
107,1789393211188958134,46110241498394,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
108,1789393211198963371,46110251503635,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
109,1789393211208930080,46110261470349,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
110,1789393211218962939,46110271503212,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
111,1789393211228958886,46110281499142,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
112,1789393211238971675,46110291511951,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
113,1789393211248941471,46110301481746,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
114,1789393211258933676,46110311473866,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
115,1789393211268928147,46110321468426,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
116,1789393211278976018,46110331516277,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
117,1789393211288962446,46110341502708,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
118,1789393211298946964,46110351487226,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
119,1789393211308937641,46110361477911,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
120,1789393211318968079,46110371508292,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
121,1789393211328934317,46110381474583,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
122,1789393211338942968,46110391483244,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
123,1789393211348956932,46110401497210,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
124,1789393211358941307,46110411481568,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
125,1789393211368920337,46110421460606,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
126,1789393211378971463,46110431511727,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
127,1789393211388961039,46110441501305,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
128,1789393211398961864,46110451502124,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
129,1789393211408937252,46110461477517,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
130,1789393211418971958,46110471512229,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
131,1789393211428929774,46110481470042,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
132,1789393211438929332,46110491469608,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
133,1789393211448931962,46110501472231,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
134,1789393211458948632,46110511488907,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
135,1789393211468943051,46110521483328,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
136,1789393211478930985,46110531471261,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
137,1789393211488914213,46110541454490,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
138,1789393211498942761,46110551483041,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
139,1789393211508979472,46110561519739,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
140,1789393211518961558,46110571501829,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
141,1789393211528963069,46110581503316,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
142,1789393211538963360,46110591503624,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
143,1789393211549822963,46110602363223,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
144,1789393211558933275,46110611473548,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
145,1789393211568977181,46110621517440,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
146,1789393211578932283,46110631472534,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
147,1789393211588928098,46110641468367,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
148,1789393211598941652,46110651481912,-3.849850296e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,0,0,0
