tick,time,v_ref,top,navigation,avoidance,safety,mission,source,x,y,position_valid
121,1789654100.234127283,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
122,1789654100.244165182,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
123,1789654100.254167080,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
124,1789654100.264169216,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
125,1789654100.274178505,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
126,1789654100.284174681,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
127,1789654100.294130087,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
128,1789654100.304177999,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
129,1789654100.314136982,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
130,1789654100.324126005,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
131,1789654100.334134102,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
132,1789654100.344134092,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
133,1789654100.354174614,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
134,1789654100.364183664,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
135,1789654100.374127388,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
136,1789654100.384166956,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
137,1789654100.394127131,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
138,1789654100.404137611,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
139,1789654100.414161444,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
140,1789654100.424284220,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
141,1789654100.434130669,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
142,1789654100.444126606,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
143,1789654100.454168558,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
144,1789654100.464154959,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
145,1789654100.474120617,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
146,1789654100.484122276,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
147,1789654100.494118214,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
148,1789654100.504126549,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
149,1789654100.514132977,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
150,1789654100.524152517,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
151,1789654100.534166098,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
152,1789654100.544188261,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
153,1789654100.554130316,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
154,1789654100.564167500,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
155,1789654100.574125767,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
156,1789654100.584129572,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
157,1789654100.594111919,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
158,1789654100.604106903,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
159,1789654100.614125967,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
160,1789654100.624147415,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
161,1789654100.634144783,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
162,1789654100.644134760,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
163,1789654100.654192686,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
164,1789654100.664135695,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
165,1789654100.674115896,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
166,1789654100.684178114,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
167,1789654100.694114208,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
168,1789654100.704176188,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
169,1789654100.714148760,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
170,1789654100.724113941,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
171,1789654100.734217405,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
172,1789654100.744123936,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
173,1789654100.754137993,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
174,1789654100.764116287,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
175,1789654100.774109364,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
176,1789654100.784202576,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
177,1789654100.794184446,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
178,1789654100.804226398,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
179,1789654100.814157963,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
180,1789654100.824153900,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
181,1789654100.834125996,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
182,1789654100.844165087,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
183,1789654100.854157209,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
184,1789654100.864161015,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
185,1789654100.874131203,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
186,1789654100.884164572,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
187,1789654100.894133091,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
188,1789654100.904130459,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
189,1789654100.914187670,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
190,1789654100.924125910,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
191,1789654100.934130907,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
192,1789654100.944175959,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
193,1789654100.954183578,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
194,1789654100.964136124,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
195,1789654100.974118233,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
196,1789654100.984128952,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
197,1789654100.994130373,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
198,1789654101.004125834,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
199,1789654101.014133453,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
200,1789654101.024128914,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
201,1789654101.034152508,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
202,1789654101.044129133,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
203,1789654101.054176807,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
204,1789654101.064265490,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
205,1789654101.074117661,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
206,1789654101.084161758,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
