tick,time,v_ref,top,navigation,avoidance,safety,mission,source,x,y,position_valid
8435,1789650259.040930986,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8436,1789650259.050938368,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8437,1789650259.060946703,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8438,1789650259.070937872,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8439,1789650259.080928087,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8440,1789650259.090926170,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8441,1789650259.100944757,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8442,1789650259.110926390,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8443,1789650259.120938063,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8444,1789650259.130926371,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8445,1789650259.140937805,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8446,1789650259.150940180,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8447,1789650259.160927057,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8448,1789650259.170952082,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8449,1789650259.180934668,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8450,1789650259.190998793,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8451,1789650259.200934410,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8452,1789650259.210927248,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8453,1789650259.220937729,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8454,1789650259.230942249,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8455,1789650259.240998030,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8456,1789650259.250986576,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8457,1789650259.260975838,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8458,1789650259.270957708,0.000000000,2,0,0,0,0,0,-2.077907460,-1.925836000,1
8459,1789650259.280959845,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8460,1789650259.290945768,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8461,1789650259.300995111,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8462,1789650259.310950518,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8463,1789650259.320945740,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8464,1789650259.330943823,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8465,1789650259.340986967,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8466,1789650259.350990057,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8467,1789650259.361006021,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8468,1789650259.370953560,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8469,1789650259.380962849,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8470,1789650259.390947104,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8471,1789650259.400947094,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8472,1789650259.410958767,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8473,1789650259.420946836,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8474,1789650259.430944204,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8475,1789650259.440947771,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8476,1789650259.450974703,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8477,1789650259.460970163,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8478,1789650259.470974445,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8479,1789650259.480933905,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8480,1789650259.490933657,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8481,1789650259.500938177,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8482,1789650259.510943174,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8483,1789650259.520932198,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8484,1789650259.530932188,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8485,1789650259.540931702,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8486,1789650259.550932884,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8487,1789650259.560943842,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8488,1789650259.570946217,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8489,1789650259.580936909,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8490,1789650259.590927601,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8491,1789650259.600926876,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8492,1789650259.610927820,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8493,1789650259.620929718,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8494,1789650259.630930424,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8495,1789650259.640931129,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8496,1789650259.650932074,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8497,1789650259.660928726,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8498,1789650259.671008348,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8499,1789650259.680977583,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8500,1789650259.690951109,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8501,1789650259.700948000,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8502,1789650259.710995436,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8503,1789650259.720947742,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8504,1789650259.730941296,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8505,1789650259.740962267,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8506,1789650259.750939608,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8507,1789650259.760952950,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8508,1789650259.770958424,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8509,1789650259.780945301,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8510,1789650259.790944815,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8511,1789650259.800990105,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
8512,1789650259.810940504,0.000000000,2,0,0,0,0,0,-2.092665326,-1.925836000,1
