tick,event_time_ns,stopline_detected,stop_distance,red,green,vehicle_speed,vehicle_speed_valid
356,1789335594856149388,0,0,0,0,1.803196392e-05,1
357,1789335594866142750,0,0,0,0,1.812489973e-05,1
358,1789335594876155914,0,0,0,0,2.046637019e-05,1
359,1789335594886139119,0,0,0,0,1.524280106e-05,1
360,1789335594896187867,0,0,0,0,2.484949437e-05,1
361,1789335594906149355,0,0,0,0,2.363983185e-05,1
362,1789335594916137142,0,0,0,0,2.787090853e-05,1
363,1789335594926185132,0,0,0,0,4.225225348e-05,1
364,1789335594936164574,0,0,0,0,2.063618194e-05,1
365,1789335594946183025,0,0,0,0,1.736026752e-05,1
366,1789335594956195740,0,0,0,0,1.97031859e-05,1
367,1789335594966177363,0,0,0,0,3.035653208e-05,1
368,1789335594976180506,0,0,0,0,5.692094055e-05,1
369,1789335594986143581,0,0,0,0,0.0001286189217,1
370,1789335594996199142,0,0,0,0,6.1754341e-05,1
371,1789335595006187683,0,0,0,0,-0.0001050968785,1
372,1789335595016191853,0,0,0,0,-9.592015704e-05,1
373,1789335595026145627,0,0,0,0,-1.36554454e-05,1
374,1789335595036190296,0,0,0,0,0.0001144118723,1
375,1789335595046177543,0,0,0,0,0.0001576437644,1
376,1789335595056198836,0,0,0,0,1.325869835e-05,1
377,1789335595066140227,0,0,0,0,-0.0001638969989,1
378,1789335595076146021,0,0,0,0,-0.0002023987763,1
379,1789335595086145341,0,0,0,0,-6.569505786e-05,1
380,1789335595096138209,0,0,0,0,0.000119011871,1
381,1789335595106222956,0,0,0,0,0.0001530652517,1
382,1789335595116147308,0,0,0,0,-8.060653272e-06,1
383,1789335595126210553,0,0,0,0,-0.0002040924446,1
384,1789335595136232803,0,0,0,0,-0.0002420729579,1
385,1789335595146184365,0,0,0,0,-9.368679457e-05,1
386,1789335595156218058,0,0,0,0,9.860581486e-05,1
387,1789335595166147001,0,0,0,0,0.000175432855,1
388,1789335595176139069,0,0,0,0,0.0001780239691,1
389,1789335595186148142,0,0,0,0,5.311382847e-05,1
390,1789335595196181936,0,0,0,0,-3.951712279e-05,1
391,1789335595206217066,0,0,0,0,-3.605025267e-05,1
392,1789335595216182972,0,0,0,0,-2.403426515e-05,1
393,1789335595226182473,0,0,0,0,-4.48786559e-05,1
394,1789335595236146704,0,0,0,0,-2.02430856e-05,1
395,1789335595246185202,0,0,0,0,-3.488217044e-05,1
396,1789335595256151849,0,0,0,0,-3.523732084e-05,1
397,1789335595266142959,0,0,0,0,-4.696772885e-05,1
398,1789335595276146585,0,0,0,0,-7.55718138e-05,1
399,1789335595286206814,0,0,0,0,-0.0001460675267,1
400,1789335595296138267,0,0,0,0,-7.843203639e-05,1
401,1789335595306178076,0,0,0,0,8.371249714e-05,1
402,1789335595316135881,0,0,0,0,7.676276437e-05,1
403,1789335595326200611,0,0,0,0,-9.068660802e-06,1
404,1789335595336138308,0,0,0,0,-0.0001351741521,1
405,1789335595346181396,0,0,0,0,-0.000174091474,1
406,1789335595356203998,0,0,0,0,-1.136556511e-05,1
407,1789335595366145632,0,0,0,0,0.0001551015448,1
408,1789335595376151084,0,0,0,0,0.0001938789355,1
409,1789335595386145324,0,0,0,0,4.969451038e-05,1
