tick,event_time_ns,time_kst,seconds_from_detection,v_ref,v_act,stopline_detected,remaining_m,distance_known,signal
3377,1789335625066125304,06:40:25.066,-0.7600231170654297,2.0,1.943014741,0,,0,1
3378,1789335625076154029,06:40:25.076,-0.7499945163726807,2.0,1.943242073,0,,0,1
3379,1789335625086410386,06:40:25.086,-0.7397379875183105,2.0,1.94373107,0,,0,1
3380,1789335625096154345,06:40:25.096,-0.7299940586090088,2.0,1.94373107,0,,0,1
3381,1789335625106163651,06:40:25.106,-0.719984769821167,2.0,1.944050312,0,,0,1
3382,1789335625116240238,06:40:25.116,-0.7099084854125977,2.0,1.944135308,0,,0,1
3383,1789335625126151436,06:40:25.126,-0.6999971866607666,2.0,1.945150495,0,,0,1
3384,1789335625136134873,06:40:25.136,-0.6900136470794678,2.0,1.944972038,0,,0,1
3385,1789335625146137653,06:40:25.146,-0.6800107955932617,2.0,1.944940329,0,,0,1
3386,1789335625156208811,06:40:25.156,-0.6699395179748535,2.0,1.944858789,0,,0,1
3387,1789335625166155141,06:40:25.166,-0.6599931716918945,2.0,1.945268989,0,,0,1
3388,1789335625176146975,06:40:25.176,-0.6500015258789062,2.0,1.946586847,0,,0,1
3389,1789335625186256461,06:40:25.186,-0.6398921012878418,2.0,1.945623755,0,,0,1
3390,1789335625196163130,06:40:25.196,-0.6299853324890137,2.0,1.945695162,0,,0,1
3391,1789335625206135354,06:40:25.206,-0.6200132369995117,2.0,1.946869254,0,,0,1
3392,1789335625216152199,06:40:25.216,-0.6099960803985596,2.0,1.946999788,0,,0,1
3393,1789335625226147885,06:40:25.226,-0.6000006198883057,2.0,1.94746232,0,,0,1
3394,1789335625236189915,06:40:25.236,-0.589958667755127,2.0,1.947334886,0,,0,1
3395,1789335625246145562,06:40:25.246,-0.580003023147583,2.0,1.948253155,0,,0,1
3396,1789335625256194356,06:40:25.256,-0.5699541568756104,2.0,1.949217319,0,,0,1
3397,1789335625266149668,06:40:25.266,-0.5599989891052246,2.0,1.948223352,0,,0,1
3398,1789335625276152299,06:40:25.276,-0.5499961376190186,2.0,1.948389649,0,,0,1
3399,1789335625286166152,06:40:25.286,-0.5399823188781738,2.0,1.949159741,0,,0,1
3400,1789335625296157041,06:40:25.296,-0.529991626739502,2.0,1.949366689,0,,0,1
3401,1789335625306200371,06:40:25.306,-0.5199482440948486,2.0,1.949366689,0,,0,1
3402,1789335625316123614,06:40:25.316,-0.5100247859954834,2.0,1.949679971,0,,0,1
3403,1789335625326137235,06:40:25.326,-0.5000112056732178,2.0,1.950226188,0,,0,1
3404,1789335625336132328,06:40:25.336,-0.49001622200012207,2.0,1.950658441,0,,0,1
3405,1789335625346125812,06:40:25.346,-0.480022668838501,2.0,1.950125456,0,,0,1
3406,1789335625356127330,06:40:25.356,-0.47002124786376953,2.0,1.95104754,0,,0,1
3407,1789335625366159811,06:40:25.366,-0.4599885940551758,2.0,1.95104754,0,,0,1
3408,1789335625376149427,06:40:25.376,-0.4499990940093994,2.0,1.951733708,0,,0,1
3409,1789335625386144817,06:40:25.386,-0.4400036334991455,2.0,1.952511668,0,,0,1
3410,1789335625396155826,06:40:25.396,-0.42999267578125,2.0,1.952395797,0,,0,1
3411,1789335625406155639,06:40:25.406,-0.41999292373657227,2.0,1.952868938,0,,0,1
3412,1789335625416173180,06:40:25.416,-0.409975528717041,2.0,1.953667521,0,,0,1
3413,1789335625426139255,06:40:25.426,-0.4000093936920166,2.0,1.953817487,0,,0,1
3414,1789335625436168166,06:40:25.436,-0.3899803161621094,2.0,1.954363227,0,,0,1
3415,1789335625446166038,06:40:25.446,-0.37998247146606445,2.0,1.954565167,0,,0,1
3416,1789335625456145423,06:40:25.456,-0.37000298500061035,2.0,1.955054522,0,,0,1
3417,1789335625466171687,06:40:25.466,-0.35997676849365234,2.0,1.956069112,0,,0,1
3418,1789335625476149687,06:40:25.476,-0.34999871253967285,2.0,1.95588851,0,,0,1
3419,1789335625486146717,06:40:25.486,-0.34000158309936523,2.0,1.956760645,0,,0,1
3420,1789335625496157099,06:40:25.496,-0.32999134063720703,2.0,1.957703114,0,,0,1
3421,1789335625506196215,06:40:25.506,-0.31995224952697754,2.0,1.958123446,0,,0,1
3422,1789335625516151298,06:40:25.516,-0.3099973201751709,2.0,1.95882988,0,,0,1
3423,1789335625526371117,06:40:25.526,-0.2997775077819824,2.0,1.958872676,0,,0,1
3424,1789335625536143490,06:40:25.536,-0.2900049686431885,2.0,1.959154606,0,,0,1
3425,1789335625546160070,06:40:25.546,-0.27998828887939453,2.0,1.959357262,0,,0,1
3426,1789335625556145762,06:40:25.556,-0.2700028419494629,2.0,1.959418893,0,,0,1
3427,1789335625566158838,06:40:25.566,-0.25998973846435547,2.0,1.96026969,0,,0,1
3428,1789335625576148272,06:40:25.576,-0.2500002384185791,2.0,1.960552692,0,,0,1
