stamp_s,lat,lon,quality,idx,cross_track_m,at_end,fix_age_s,heading_deg,heading_src,imu_yaw_deg,offset_deg,go,route_index,route_id,sequence_id,route_connecting,station_m,station_window_low_m,station_window_high_m,station_v_ref,station_sample_time_s,preview_requested_station_m,preview_station_m,preview_snapped
1789220005.697,37.3041592,127.9075403,5,0,1.812,0,0.048,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220005.797,37.3041592,127.9075402,5,0,1.807,0,0.028,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220005.897,37.3041592,127.9075402,5,0,1.807,0,0.128,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220005.997,37.3041592,127.9075402,5,0,1.807,0,0.099,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220006.097,37.3041590,127.9075402,5,0,1.824,0,0.072,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220006.197,37.3041590,127.9075402,5,0,1.824,0,0.041,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220006.297,37.3041590,127.9075402,5,0,1.824,0,0.024,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220006.397,37.3041590,127.9075402,5,0,1.824,0,0.125,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220006.497,37.3041590,127.9075402,5,0,1.824,0,0.094,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220006.597,37.3041588,127.9075400,5,0,1.836,0,0.068,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220006.697,37.3041588,127.9075400,5,0,1.836,0,0.052,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
