generation,time_ns,zone_id,zone_valid,raw_in,stable_in,enter_count,exit_count,x,y,position_valid,track_index,previous_track_index,position_step_m,heading_rad,heading_valid,boundary_endpoint_distance_m,calibration_state
1789221201890476590,1789221201901416176,9,1,0,0,0,5,10.923772035626847,-32.019342666979753,1,77,77,0.057767257495020222,0.97628581532731218,1,27.554452896118164,1
1789221202012830469,1789221202101406845,0,1,1,1,0,0,10.982803497435503,-31.926575999756324,1,77,77,0.10995620960641266,0.92986206381750236,1,0,1
1789221202012830469,1789221202101406845,9,1,0,0,0,5,10.982803497435503,-31.926575999756324,1,77,77,0.10995620960641266,0.92986206381750236,1,27.514619827270508,1
1789221202146865838,1789221202201413612,0,1,1,1,0,0,11.071350690148488,-31.83380933332387,1,77,77,0.12824297149684508,0.89340742833965514,1,0,1
1789221202146865838,1789221202201413612,9,1,0,0,0,5,11.071350690148488,-31.83380933332387,1,77,77,0.12824297149684508,0.89340742833965514,1,27.492782592773438,1
1789221202264575273,1789221202301404804,0,1,1,1,0,0,11.145140017409309,-31.778149333464398,1,77,77,0.092427811842328775,0.85470013833874026,1,0,1
1789221202264575273,1789221202301404804,9,1,0,0,0,5,11.145140017409309,-31.778149333464398,1,77,77,0.092427811842328775,0.85470013833874026,1,27.492345809936523,1
1789221202389540917,1789221202401422908,0,1,1,1,0,0,11.233687210122294,-31.685382666240969,1,77,77,0.12824297206901072,0.81138865485926992,1,0,1
1789221202389540917,1789221202401422908,9,1,0,0,0,5,11.233687210122294,-31.685382666240969,1,77,77,0.12824297206901072,0.81138865485926992,1,27.471515655517578,1
1789221202514148697,1789221202601403160,0,1,1,1,0,0,11.292718673189281,-31.648275999667987,1,77,77,0.069725306281058469,0.75194486549675155,1,0,1
1789221202514148697,1789221202601403160,9,1,0,0,0,5,11.292718673189281,-31.648275999667987,1,77,77,0.069725306281058469,0.75194486549675155,1,27.477636337280273,1
1789221202639546652,1789221202701410939,0,1,1,1,0,0,11.396023731354431,-31.592615999808515,1,77,77,0.11734551813708696,0.74077785417150288,1,0,1
1789221202639546652,1789221202701410939,9,1,0,0,0,5,11.396023731354431,-31.592615999808515,1,77,77,0.11734551813708696,0.74077785417150288,1,27.496129989624023,1
1789221202756419262,1789221202801411201,0,1,1,1,0,0,11.440297327710923,-31.481296000089571,1,77,77,0.1198010587255524,0.73481226855509529,1,0,1
1789221202756419262,1789221202801411201,9,1,0,0,0,5,11.440297327710923,-31.481296000089571,1,77,77,0.1198010587255524,0.73481226855509529,1,27.434965133666992,1
1789221202890135835,1789221202901407294,0,1,1,1,0,0,11.528844520423908,-31.44418933351659,1,77,77,0.096007864477390417,0.73125740925205074,1,0,1
1789221202890135835,1789221202901407294,9,1,0,0,0,5,11.528844520423908,-31.44418933351659,1,77,77,0.096007864477390417,0.73125740925205074,1,27.459939956665039,1
1789221203015930813,1789221203101420786,0,1,1,1,0,0,11.587875982232564,-31.369975999579651,1,77,77,0.094827909485037387,0.75221495268073379,1,0,1
1789221203015930813,1789221203101420786,9,1,0,0,0,5,11.587875982232564,-31.369975999579651,1,77,77,0.094827909485037387,0.75221495268073379,1,27.437816619873047,1
1789221203143280195,1789221203201411145,0,1,1,1,0,0,11.676423174945549,-31.314315999720179,1,77,77,0.10458795782358013,0.74723881148911442,1,0,1
1789221203143280195,1789221203201411145,9,1,0,0,0,5,11.676423174945549,-31.314315999720179,1,77,77,0.10458795782358013,0.74723881148911442,1,27.448856353759766,1
1789221203260723213,1789221203301421206,0,1,1,1,0,0,11.764970368916865,-31.240102666574217,1,77,77,0.11553451595444296,0.75754044607170812,1,0,1
1789221203260723213,1789221203301421206,9,1,0,0,0,5,11.764970368916865,-31.240102666574217,1,77,77,0.11553451595444296,0.75754044607170812,1,27.445781707763672,1
1789221203387271589,1789221203401425060,0,1,1,1,0,0,11.824001830725521,-31.147336000141763,1,77,77,0.10995620893909043,0.7595305891518267,1,0,1
1789221203387271589,1789221203401425060,9,1,0,0,0,5,11.824001830725521,-31.147336000141763,1,77,77,0.10995620893909043,0.7595305891518267,1,27.410240173339844,1
1789221203514314041,1789221203601412174,0,1,1,1,0,0,11.912549023438507,-31.091676000282291,1,77,77,0.10458795782358013,0.77021958644658906,1,0,1
1789221203514314041,1789221203601412174,9,1,0,0,0,5,11.912549023438507,-31.091676000282291,1,77,77,0.10458795782358013,0.77021958644658906,1,27.422508239746094,1
1789221203636950543,1789221203701421687,0,1,1,1,0,0,11.986338350699327,-31.017462666345352,1,77,77,0.10465411483377091,0.75925958335793942,1,0,1
1789221203636950543,1789221203701421687,9,1,0,0,0,5,11.986338350699327,-31.017462666345352,1,77,77,0.10465411483377091,0.75925958335793942,1,27.411462783813477,1
1789221203765532652,1789221203801410354,0,1,1,1,0,0,12.10440127431664,-30.96180266648588,1,77,77,0.130525436285131,0.77223620370292778,1,0,1
1789221203765532652,1789221203801410354,9,1,0,0,0,5,12.10440127431664,-30.96180266648588,1,77,77,0.130525436285131,0.77223620370292778,1,27.443271636962891,1
1789221203887511392,1789221203901415126,0,1,1,1,0,0,12.178190601577461,-30.94324933319939,1,77,77,0.076086076214009812,0.76821647318218744,1,0,1
1789221203887511392,1789221203901415126,9,1,0,0,0,5,12.178190601577461,-30.94324933319939,1,77,77,0.076086076214009812,0.76821647318218744,1,27.4759521484375,1
1789221204017600103,1789221204101413840,0,1,1,1,0,0,12.266737795548776,-30.850482666766936,1,77,77,0.12824297236567725,0.76819815658448931,1,0,1
1789221204017600103,1789221204101413840,9,1,0,0,0,5,12.266737795548776,-30.850482666766936,1,77,77,0.12824297236567725,0.76819815658448931,1,27.461261749267578,1
1789221204150913660,1789221204201412522,0,1,1,1,0,0,12.31101139190527,-30.739162666257016,1,77,77,0.11980105946053378,0.78078970612977017,1,0,1
1789221204150913660,1789221204201412522,9,1,0,0,0,5,12.31101139190527,-30.739162666257016,1,77,77,0.11980105946053378,0.78078970612977017,1,27.404439926147461,1
1789221204263098424,1789221204301420600,0,1,1,1,0,0,12.399558584618255,-30.646395999824563,1,77,77,0.12824297149684508,0.77968527638534724,1,0,1
1789221204263098424,1789221204301420600,9,1,0,0,0,5,12.399558584618255,-30.646395999824563,1,77,77,0.12824297149684508,0.77968527638534724,1,27.390830993652344,1
1789221204387511011,1789221204401415995,0,1,1,1,0,0,12.458590046426911,-30.5721826666786,1,77,77,0.094827908866010988,0.79296844775287356,1,0,1
1789221204387511011,1789221204401415995,9,1,0,0,0,5,12.458590046426911,-30.5721826666786,1,77,77,0.094827908866010988,0.79296844775287356,1,27.372692108154297,1
1789221204510090355,1789221204601477100,0,1,1,1,0,0,12.547137239139895,-30.479416000246147,1,77,77,0.12824297149684385,0.81858772906431865,1,0,1
1789221204510090355,1789221204601477100,9,1,0,0,0,5,12.547137239139895,-30.479416000246147,1,77,77,0.12824297149684385,0.81858772906431865,1,27.360111236572266,1
1789221204636978337,1789221204701418466,0,1,1,1,0,0,12.620926566400716,-30.405202666309208,1,77,77,0.10465411483377091,0.82020310423753617,1,0,1
1789221204636978337,1789221204701418466,9,1,0,0,0,5,12.620926566400716,-30.405202666309208,1,77,77,0.10465411483377091,0.82020310423753617,1,27.352415084838867,1
1789221204763283084,1789221204801421979,0,1,1,1,0,0,12.694715893661536,-30.312435999876755,1,77,77,0.11853488608251402,0.81571773783280932,1,0,1
1789221204763283084,1789221204801421979,9,1,0,0,0,5,12.694715893661536,-30.312435999876755,1,77,77,0.11853488608251402,0.81571773783280932,1,27.331174850463867,1
1789221204887084538,1789221204901421665,0,1,1,1,0,0,12.783263087632854,-30.256776000017283,1,77,77,0.10458795888892053,0.81899629152181497,1,0,1
1789221204887084538,1789221204901421665,9,1,0,0,0,5,12.783263087632854,-30.256776000017283,1,77,77,0.10458795888892053,0.81899629152181497,1,27.347993850708008,1
1789221205013973582,1789221205101410355,0,1,1,1,0,0,12.812778818537181,-30.126902667011848,1,77,77,0.13318506296412219,0.82115317070574045,1,0,1
1789221205013973582,1789221205101410355,9,1,0,0,0,5,12.812778818537181,-30.126902667011848,1,77,77,0.13318506296412219,0.82115317070574045,1,27.270528793334961,1
1789221205147957830,1789221205201421088,0,1,1,1,0,0,12.901326011250166,-30.052689333074909,1,77,77,0.11553451549812356,0.81321498007486914,1,0,1
1789221205147957830,1789221205201421088,9,1,0,0,0,5,12.901326011250166,-30.052689333074909,1,77,77,0.11553451549812356,0.81321498007486914,1,27.274354934692383,1
1789221205261452654,1789221205301404549,0,1,1,1,0,0,12.960357473058822,-29.997029333215437,1,77,77,0.08113414242859332,0.82088576265086388,1,0,1
1789221205261452654,1789221205301404549,9,1,0,0,0,5,12.960357473058822,-29.997029333215437,1,77,77,0.08113414242859332,0.82088576265086388,1,27.272590637207031,1
1789221205386473329,1789221205401416231,0,1,1,1,0,0,13.048904665771808,-29.885709333496493,1,77,77,0.14224186329901703,0.82491208449403164,1,0,1
