stamp_s,counter,x,y,yaw,v,str,str_ref
1789220003.238,182,0.0000,0.0000,0.0000,0.0001,0.0012,0.0000
1789220003.248,183,0.0000,0.0000,0.0000,0.0001,0.0009,0.0000
1789220003.258,184,0.0000,0.0000,0.0000,0.0001,-0.0008,0.0000
1789220003.268,185,0.0000,0.0000,0.0000,0.0002,-0.0006,0.0000
1789220003.278,186,0.0000,0.0000,0.0000,0.0001,-0.0003,0.0000
1789220003.288,187,0.0000,0.0000,0.0000,0.0000,0.0010,0.0000
1789220003.298,188,0.0000,0.0000,0.0000,-0.0001,-0.0003,0.0000
1789220003.308,189,0.0000,0.0000,0.0000,-0.0001,-0.0007,0.0000
1789220003.318,190,0.0000,0.0000,0.0000,0.0001,-0.0005,0.0000
1789220003.328,191,0.0000,0.0000,0.0000,0.0002,0.0018,0.0000
1789220003.338,192,0.0000,0.0000,0.0000,0.0002,0.0028,0.0000
1789220003.348,193,0.0000,0.0000,0.0000,0.0001,0.0024,0.0000
1789220003.358,194,0.0000,0.0000,0.0000,-0.0000,0.0008,0.0000
1789220003.368,195,0.0000,0.0000,0.0000,-0.0001,0.0004,0.0000
1789220003.378,196,0.0000,0.0000,0.0000,0.0001,0.0003,0.0000
1789220003.388,197,0.0000,0.0000,0.0000,0.0002,0.0015,0.0000
1789220003.398,198,0.0000,0.0000,0.0000,0.0002,0.0021,0.0000
1789220003.408,199,0.0000,0.0000,0.0000,0.0001,0.0039,0.0000
1789220003.418,200,0.0000,0.0000,0.0000,-0.0001,0.0028,0.0000
1789220003.428,201,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000
1789220003.438,202,0.0000,0.0000,0.0000,0.0001,-0.0003,0.0000
1789220003.448,203,0.0000,0.0000,0.0000,0.0002,-0.0007,0.0000
1789220003.458,204,0.0000,0.0000,0.0000,0.0001,0.0017,0.0000
1789220003.468,205,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000
1789220003.478,206,0.0000,0.0000,0.0000,-0.0001,0.0026,0.0000
1789220003.488,207,0.0000,0.0000,0.0000,-0.0001,0.0007,0.0000
1789220003.498,208,0.0000,0.0000,0.0000,-0.0000,0.0016,0.0000
1789220003.508,209,0.0000,0.0000,0.0000,-0.0001,0.0012,0.0000
1789220003.518,210,0.0000,0.0000,0.0000,-0.0001,0.0023,0.0000
1789220003.528,211,0.0000,0.0000,0.0000,-0.0002,0.0018,0.0000
1789220003.538,212,0.0000,0.0000,0.0000,-0.0002,0.0019,0.0000
1789220003.548,213,0.0000,0.0000,0.0000,-0.0003,0.0019,0.0000
1789220003.558,214,0.0000,0.0000,0.0000,-0.0001,0.0015,0.0000
1789220003.568,215,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000
1789220003.578,216,0.0000,0.0000,0.0000,0.0000,0.0013,0.0000
1789220003.588,217,0.0000,0.0000,0.0000,-0.0000,0.0013,0.0000
1789220003.598,218,0.0000,0.0000,0.0000,-0.0001,0.0009,0.0000
1789220003.608,219,0.0000,0.0000,0.0000,-0.0001,0.0009,0.0000
1789220003.618,220,0.0000,0.0000,0.0000,0.0000,-0.0015,0.0000
1789220003.628,221,0.0000,0.0000,0.0000,0.0000,-0.0014,0.0000
1789220003.638,222,0.0000,0.0000,0.0000,-0.0001,-0.0022,0.0000
1789220003.648,223,0.0000,0.0000,0.0000,-0.0001,-0.0001,0.0000
1789220003.658,224,0.0000,0.0000,0.0000,-0.0001,0.0004,0.0000
1789220003.668,225,0.0000,0.0000,0.0000,-0.0000,0.0009,0.0000
1789220003.678,226,0.0000,0.0000,0.0000,0.0000,0.0024,0.0000
1789220003.688,227,0.0000,0.0000,0.0000,0.0001,0.0020,0.0000
1789220003.698,228,0.0000,0.0000,0.0000,0.0000,0.0021,0.0000
1789220003.708,229,0.0000,0.0000,0.0000,-0.0000,-0.0011,0.0000
1789220003.718,230,0.0000,0.0000,0.0000,-0.0001,-0.0004,0.0000
1789220003.728,231,0.0000,0.0000,0.0000,-0.0001,0.0007,0.0000
1789220003.739,232,0.0000,0.0000,0.0000,-0.0000,0.0024,0.0000
1789220003.748,233,0.0000,0.0000,0.0000,0.0000,0.0017,0.0000
1789220003.758,234,0.0000,0.0000,0.0000,0.0000,0.0008,0.0000
1789220003.768,235,0.0000,0.0000,0.0000,-0.0000,0.0020,0.0000
1789220003.778,236,0.0000,0.0000,0.0000,-0.0001,0.0031,0.0000
1789220003.788,237,0.0000,0.0000,0.0000,0.0000,0.0035,0.0000
1789220003.798,238,0.0000,0.0000,0.0000,0.0000,0.0037,0.0000
1789220003.808,239,0.0000,0.0000,0.0000,0.0001,0.0028,0.0000
1789220003.818,240,0.0000,0.0000,0.0000,-0.0001,0.0019,0.0000
1789220003.828,241,0.0000,0.0000,0.0000,-0.0000,0.0006,0.0000
1789220003.838,242,0.0000,0.0000,0.0000,0.0000,0.0012,0.0000
1789220003.848,243,0.0000,0.0000,0.0000,0.0001,0.0021,0.0000
1789220003.858,244,0.0000,0.0000,0.0000,0.0001,0.0022,0.0000
1789220003.868,245,0.0000,0.0000,0.0000,-0.0000,0.0020,0.0000
1789220003.878,246,0.0000,0.0000,0.0000,-0.0000,0.0026,0.0000
1789220003.888,247,0.0000,0.0000,0.0000,0.0000,0.0018,0.0000
1789220003.898,248,0.0000,0.0000,0.0000,0.0001,0.0017,0.0000
1789220003.908,249,0.0000,0.0000,0.0000,0.0001,-0.0000,0.0000
1789220003.918,250,0.0000,0.0000,0.0000,-0.0000,0.0006,0.0000
1789220003.928,251,0.0000,0.0000,0.0000,-0.0001,0.0005,0.0000
1789220003.938,252,0.0000,0.0000,0.0000,-0.0000,0.0024,0.0000
1789220003.948,253,0.0000,0.0000,0.0000,0.0001,0.0028,0.0000
1789220003.958,254,0.0000,0.0000,0.0000,0.0001,0.0027,0.0000
1789220003.968,255,0.0000,0.0000,0.0000,0.0001,0.0009,0.0000
1789220003.978,256,0.0000,0.0000,0.0000,0.0000,-0.0003,0.0000
1789220003.988,257,0.0000,0.0000,0.0000,-0.0000,-0.0007,0.0000
1789220003.998,258,0.0000,0.0000,0.0000,0.0001,-0.0027,0.0000
1789220004.008,259,0.0000,0.0000,0.0000,0.0001,-0.0022,0.0000
1789220004.018,260,0.0000,0.0000,0.0000,0.0002,-0.0014,0.0000
1789220004.028,261,0.0000,0.0000,0.0000,0.0001,0.0008,0.0000
1789220004.038,262,0.0000,0.0000,0.0000,-0.0000,0.0016,0.0000
1789220004.048,263,0.0000,0.0000,0.0000,-0.0002,0.0014,0.0000
1789220004.058,264,0.0000,0.0000,0.0000,-0.0001,0.0011,0.0000
1789220004.068,265,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1789220004.078,266,0.0000,0.0000,0.0000,0.0001,-0.0003,0.0000
1789220004.088,267,0.0000,0.0000,0.0000,-0.0000,0.0002,0.0000
1789220004.098,268,0.0000,0.0000,0.0000,-0.0001,0.0010,0.0000
1789220004.108,269,0.0000,0.0000,0.0000,-0.0000,0.0015,0.0000
1789220004.118,270,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000
1789220004.128,271,0.0000,0.0000,0.0000,0.0001,0.0010,0.0000
1789220004.138,272,0.0000,0.0000,0.0000,0.0001,0.0024,0.0000
1789220004.148,273,0.0000,0.0000,0.0000,0.0000,0.0019,0.0000
1789220004.158,274,0.0000,0.0000,0.0000,-0.0000,0.0021,0.0000
