tick,event_time_ns,gps_x,gps_y,gps_position_valid,gps_track_index,vehicle_speed,vehicle_speed_valid,lane_confidence,gps_cross_track,gps_station_yaw_error,gps_heading_valid,avoid_obstacle_detected,avoid_avoidable,avoid_narrow_gap,avoid_maneuver_done,avoid_v_suggest,avoid_ttc,parking_v_suggest,parking_done,parking_path_blocked,traffic_red_active,traffic_green_active,traffic_stopline_detected,traffic_stop_distance,autonomous_enabled,external_stop,camera_available,gps_fixed_ready,lidar_valid,gps_fix_quality,sensor_alive_mask,front_clearance_m,left_clearance_m,right_clearance_m,lane_age_s,lane_timeout_s,gps_age_s,gps_timeout_s,avoid_age_s,avoid_timeout_s,parking_age_s,parking_timeout_s,recovery_age_s,recovery_timeout_s,avoid_points
48,1789733900376791871,0,0,0,-1,-0.00026670136139728,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
49,1789733900386847989,0,0,0,-1,-1.0116269777427e-06,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
50,1789733900400304123,0,0,0,-1,0.00019773253006861,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
51,1789733900406754711,0,0,0,-1,0.0002255786821479,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
52,1789733900417870856,0,0,0,-1,4.1258983401349e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
53,1789733900426749243,0,0,0,-1,-0.00017599119746592,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
54,1789733900437252852,0,0,0,-1,-0.00035634174128063,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
55,1789733900451444133,0,0,0,-1,-0.00027671959833242,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
56,1789733900456823479,0,0,0,-1,3.4732952371996e-06,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
57,1789733900470389396,0,0,0,-1,3.4732952371996e-06,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
58,1789733900477212122,0,0,0,-1,0.0002396343043074,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
59,1789733900489302047,0,0,0,-1,-9.4699091278017e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
60,1789733900498135655,0,0,0,-1,-9.4699091278017e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
61,1789733900507855519,0,0,0,-1,-0.00029108300805092,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
62,1789733900519474568,0,0,0,-1,-0.00029108300805092,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
63,1789733900532025326,0,0,0,-1,-0.00029108300805092,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
64,1789733900541480943,0,0,0,-1,-0.00029108300805092,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
65,1789733900547563236,0,0,0,-1,-0.00029108300805092,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
66,1789733900556743671,0,0,0,-1,0.00020742081687786,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
67,1789733900566743679,0,0,0,-1,0.00020742081687786,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
68,1789733900576740529,0,0,0,-1,0.00020742081687786,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
69,1789733900586745408,0,0,0,-1,0.00020742081687786,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
70,1789733900596743903,0,0,0,-1,0.00020742081687786,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
71,1789733900606762037,0,0,0,-1,0.00020742081687786,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
72,1789733900616975075,0,0,0,-1,0.00020742081687786,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
73,1789733900626919911,0,0,0,-1,0.00020742081687786,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
74,1789733900637077610,0,0,0,-1,0.00020742081687786,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
75,1789733900646744001,0,0,0,-1,-0.00027982902247459,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
76,1789733900656741091,0,0,0,-1,-0.00033294068998657,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
77,1789733900666739341,0,0,0,-1,0.00013443538045976,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
78,1789733900678258980,0,0,0,-1,0.00021951623784844,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
79,1789733900688018404,0,0,0,-1,0.00021951623784844,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
80,1789733900699379040,0,0,0,-1,-0.00025258384994231,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
81,1789733900707023547,0,0,0,-1,-0.00028525671223179,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
82,1789733900716752983,0,0,0,-1,-0.00028525671223179,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
83,1789733900732568045,0,0,0,-1,0.000132546047098,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
84,1789733900737077309,0,0,0,-1,0.00014040550740901,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
85,1789733900746751436,0,0,0,-1,5.9835092542926e-05,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
86,1789733900756722396,0,0,0,-1,-0.00010625174763845,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
87,1789733900767303825,0,0,0,-1,-0.00017827589181252,1,0,0,0,0,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,1,-1,0.5,-1,0.5,-1,0.5,0,0,0
88,1789733900777644771,-13.500908841281,-13.86287626524,1,78,-0.00010063047375297,1,0,0.27401456236839,0.00010823197226273,1,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,1,0,4,64,0,0,0,-1,1,0.089503653347492,0.5,-1,0.5,-1,0.5,0,0,0
89,1789733900786917607,-13.500908841281,-13.86287626524,1,78,8.2181686593685e-05,1,0,0.27401456236839,0.00010823197226273,1,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,1,0,4,64,0,0,0,-1,1,0.098776616156101,0.5,-1,0.5,-1,0.5,0,0,0
90,1789733900796726430,-13.500908841281,-13.86287626524,1,78,0.00017261227185372,1,0,0.27401456236839,0.00010823197226273,1,0,0,0,0,0,1000000000,0,0,0,0,0,0,0,0,1,0,1,0,4,64,0,0,0,-1,1,0.1085854023695,0.5,-1,0.5,-1,0.5,0,0,0
