stamp_s,lat,lon,quality,idx,cross_track_m,at_end,fix_age_s,heading_deg,heading_src,imu_yaw_deg,offset_deg,go,route_index,route_id,sequence_id,route_connecting,station_m,station_window_low_m,station_window_high_m,station_v_ref,station_sample_time_s,preview_requested_station_m,preview_station_m,preview_index,preview_snapped
1789733904.264,37.3037523,127.9070273,4,78,0.263,0,0.069,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.337546,18.837546,19.837546,0.000000,0.100000,21.837546,21.837546,88,0
1789733904.364,37.3037523,127.9070272,4,78,0.274,0,0.044,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.837546,19.837546,0.000000,0.100000,21.847580,21.847580,88,0
1789733904.464,37.3037523,127.9070273,4,78,0.263,0,0.024,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.337546,18.847580,19.847580,0.000000,0.100000,21.837546,21.837546,88,0
1789733904.564,37.3037523,127.9070273,4,78,0.263,0,0.124,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.337546,18.847580,19.847580,0.000000,0.100000,21.837546,21.837546,88,0
1789733904.663,37.3037523,127.9070272,4,78,0.274,0,0.092,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.837546,19.837546,0.000000,0.100000,21.847580,21.847580,88,0
1789733904.763,37.3037523,127.9070272,4,78,0.274,0,0.071,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733904.863,37.3037523,127.9070272,4,78,0.274,0,0.046,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733904.964,37.3037523,127.9070272,4,78,0.274,0,0.025,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733905.064,37.3037523,127.9070272,4,78,0.274,0,0.124,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733905.164,37.3037523,127.9070272,4,78,0.274,0,0.090,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733905.264,37.3037523,127.9070272,4,78,0.274,0,0.075,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733905.363,37.3037523,127.9070273,4,78,0.263,0,0.046,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.337546,18.847580,19.847580,0.000000,0.100000,21.837546,21.837546,88,0
1789733905.463,37.3037523,127.9070272,4,78,0.274,0,0.024,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.837546,19.837546,0.000000,0.100000,21.847580,21.847580,88,0
1789733905.563,37.3037523,127.9070272,4,78,0.274,0,0.123,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.837546,19.837546,0.000000,0.100000,21.847580,21.847580,88,0
1789733905.664,37.3037523,127.9070272,4,78,0.274,0,0.095,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733905.763,37.3037523,127.9070272,4,78,0.274,0,0.073,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733905.863,37.3037523,127.9070272,4,78,0.274,0,0.049,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733905.963,37.3037523,127.9070272,4,78,0.274,0,0.025,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733906.063,37.3037523,127.9070272,4,78,0.274,0,0.126,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733906.163,37.3037523,127.9070272,4,78,0.274,0,0.085,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733906.263,37.3037523,127.9070272,4,78,0.274,0,0.068,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733906.364,37.3037523,127.9070272,4,78,0.274,0,0.047,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733906.463,37.3037523,127.9070272,4,78,0.274,0,0.025,-133.7,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733906.563,37.3037523,127.9070272,4,78,0.274,0,0.125,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733906.663,37.3037523,127.9070272,4,78,0.274,0,0.097,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733906.763,37.3037523,127.9070272,4,78,0.274,0,0.076,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733906.863,37.3037523,127.9070272,4,78,0.274,0,0.044,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733906.963,37.3037523,127.9070272,4,78,0.274,0,0.023,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733907.063,37.3037523,127.9070272,4,78,0.274,0,0.123,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733907.163,37.3037523,127.9070272,4,78,0.274,0,0.085,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733907.263,37.3037523,127.9070272,4,78,0.274,0,0.072,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733907.363,37.3037523,127.9070272,4,78,0.274,0,0.047,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733907.464,37.3037523,127.9070273,4,78,0.263,0,0.024,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.337546,18.847580,19.847580,0.000000,0.100000,21.837546,21.837546,88,0
1789733907.563,37.3037523,127.9070272,4,78,0.274,0,0.004,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.837546,19.837546,0.000000,0.100000,21.847580,21.847580,88,0
1789733907.667,37.3037523,127.9070272,4,78,0.274,0,0.105,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.837546,19.837546,0.000000,0.100000,21.847580,21.847580,88,0
1789733907.763,37.3037523,127.9070272,4,78,0.274,0,0.068,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733907.864,37.3037523,127.9070273,4,78,0.263,0,0.043,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.337546,18.847580,19.847580,0.000000,0.100000,21.837546,21.837546,88,0
1789733907.963,37.3037523,127.9070272,4,78,0.274,0,0.020,-133.6,융합,-0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.837546,19.837546,0.000000,0.100000,21.847580,21.847580,88,0
1789733908.063,37.3037523,127.9070272,4,78,0.274,0,0.121,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.837546,19.837546,0.000000,0.100000,21.847580,21.847580,88,0
