generation,time_ns,zone_id,zone_valid,raw_in,stable_in,enter_count,exit_count,x,y,position_valid,track_index,previous_track_index,position_step_m,heading_rad,heading_valid,boundary_endpoint_distance_m,calibration_state
1789733902824235670,1789733902866762970,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3327704964789522,1,0,1
1789733902944289920,1789733902966729428,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3327748114797631,1,0,1
1789733903069020665,1789733903166734362,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3327760283284613,1,0,1
1789733903196023616,1789733903266724079,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3327379043999357,1,0,1
1789733903320486388,1789733903366794803,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3326424811200788,1,0,1
1789733903445021997,1789733903466748150,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3325753201776367,1,0,1
1789733903570245923,1789733903666747875,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3327199527104878,1,0,1
1789733903695490918,1789733903766739233,0,1,1,1,0,0,-13.486150917458454,-13.862876265239663,1,78,78,0.014757923822958929,-2.3326300072967201,1,0,1
1789733903824509220,1789733903866796309,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0.014757923822958929,-2.3325827109572206,1,0,1
1789733903939136555,1789733903966742313,0,1,1,1,0,0,-13.486150917458454,-13.862876265239663,1,78,78,0.014757923822958929,-2.3326869571651683,1,0,1
1789733904085230478,1789733904166728261,0,1,1,1,0,0,-13.486150917458454,-13.862876265239663,1,78,78,0,-2.3327441960929116,1,0,1
1789733904194201014,1789733904266746827,0,1,1,1,0,0,-13.486150917458454,-13.862876265239663,1,78,78,0,-2.3326559219860488,1,0,1
1789733904318729286,1789733904366843796,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0.014757923822958929,-2.3325890944814138,1,0,1
1789733904439073106,1789733904466723819,0,1,1,1,0,0,-13.486150917458454,-13.862876265239663,1,78,78,0.014757923822958929,-2.3326222031310748,1,0,1
1789733904570350036,1789733904666752108,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0.014757923822958929,-2.3325803673603449,1,0,1
1789733904691161351,1789733904766741180,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3325988955041792,1,0,1
1789733904817022654,1789733904866750531,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.332559875148946,1,0,1
1789733904939102974,1789733904966801990,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3326421082531787,1,0,1
1789733905073841056,1789733905166750127,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.332628591329867,1,0,1
1789733905188242549,1789733905266745058,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3326114787596777,1,0,1
1789733905316465092,1789733905366733755,0,1,1,1,0,0,-13.486150917458454,-13.862876265239663,1,78,78,0.014757923822958929,-2.3326496355433637,1,0,1
1789733905439258464,1789733905466774063,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0.014757923822958929,-2.332661405091931,1,0,1
1789733905567184359,1789733905666726705,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3326270707866996,1,0,1
1789733905689877520,1789733905766748554,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3325025929495067,1,0,1
1789733905813829657,1789733905866722087,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.3325497302483087,1,0,1
1789733905937277607,1789733905966767642,0,1,1,1,0,0,-13.500908841281413,-13.862876265239663,1,78,78,0,-2.332660521788581,1,0,1
