tick,t,gps_x,gps_y,gps_position_valid,cross,gps_yaw_error,gps_heading_valid,gps_valid,lidar_valid,lane_conf,go,v,v_valid,obstacle,avoidable,done,avoid_n,avoid_age,avoid_timeout,gps_n,estop,auto_estop,avoid_zone,gps_only_zone,top,nav,avoid,safety,source,v_ref,ref_valid,ref_fresh,ref_age,blocked,route_index,route_connecting,gps_point_x,gps_point_y,gps_point_yaw,gps_point_curvature,avoid_point_x,avoid_point_y,avoid_point_yaw,avoid_point_curvature,target_point_x,target_point_y,target_point_yaw,target_point_curvature,target_n
1405,1789473934.215743,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1559338122606277,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1406,1789473934.225717,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.16590715944767,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1407,1789473934.235663,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1758537441492081,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1408,1789473934.245734,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1859240531921387,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1409,1789473934.255737,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1959278583526611,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1410,1789473934.265769,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.2059596329927444,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1411,1789473934.275736,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.2159258723258972,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1412,1789473934.285685,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1058364063501358,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1413,1789473934.295663,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1158143654465675,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
1414,1789473934.305687,31.33492423591866,34.47580399948976,1,46.58818054199219,0,0,1,1,0,0,-0.0004502461815718561,0,0,0,0,0,-1,0.5,1,1,1,0,0,0,1,0,1,1,0,1,1,0.1258385479450226,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,0,0,0,0,49.07582092285156,1.041921734809875,-4.560618549476203e-10,9.168223125133323e-11,1
