"idx","lat","lon","east_m","north_m","yaw_rad","yaw_deg","s_m","segment_type","zone_id","inside_zone","parking_mode","drive_mode"
"86","37.30364664","127.90696129","-50.667311","-58.561412","0.840436251","48.153450","21.277204","STRAIGHT","0","0","none","mission"
"87","37.30364832","127.90696317","-50.500630","-58.375294","0.840436251","48.153450","21.527048","STRAIGHT","0","0","none","mission"
"88","37.30364999","127.90696505","-50.333950","-58.189176","0.840436251","48.153450","21.776893","STRAIGHT","0","0","none","mission"
"89","37.30365167","127.90696693","-50.167269","-58.003059","0.840436251","48.153450","22.026737","STRAIGHT","0","0","none","mission"
"90","37.30365335","127.90696881","-50.000588","-57.816941","0.840436251","48.153450","22.276581","STRAIGHT","0","0","none","mission"
"91","37.30365503","127.90697069","-49.833908","-57.630824","0.840436251","48.153450","22.526426","STRAIGHT","0","0","none","mission"
"92","37.30365670","127.90697257","-49.667227","-57.444706","0.840436251","48.153450","22.776270","STRAIGHT","0","0","none","mission"
"93","37.30365838","127.90697446","-49.500546","-57.258588","0.840436251","48.153450","23.026115","STRAIGHT","0","0","none","mission"
"94","37.30366006","127.90697634","-49.333866","-57.072471","0.840436251","48.153450","23.275959","STRAIGHT","0","0","none","mission"
"95","37.30366173","127.90697822","-49.167185","-56.886353","0.840436251","48.153450","23.525803","STRAIGHT","0","0","none","mission"
"96","37.30366341","127.90698010","-49.000504","-56.700235","0.840436251","48.153450","23.775648","STRAIGHT","0","0","none","mission"
"97","37.30366509","127.90698198","-48.833824","-56.514118","0.840436251","48.153450","24.025492","STRAIGHT","0","0","none","mission"
"98","37.30366676","127.90698386","-48.667143","-56.328000","0.840436251","48.153450","24.275337","STRAIGHT","0","0","none","mission"
"99","37.30366844","127.90698574","-48.500462","-56.141882","0.840436251","48.153450","24.525181","STRAIGHT","0","0","none","mission"
"100","37.30367012","127.90698762","-48.333782","-55.955765","0.840436251","48.153450","24.775025","STRAIGHT","0","0","none","mission"
"101","37.30367180","127.90698950","-48.167101","-55.769647","0.840436251","48.153450","25.024870","STRAIGHT","0","0","none","mission"
"102","37.30367347","127.90699138","-48.000420","-55.583529","0.840436251","48.153450","25.274714","STRAIGHT","0","0","none","mission"
"103","37.30367515","127.90699326","-47.833739","-55.397412","0.840436251","48.153450","25.524559","STRAIGHT","0","0","none","mission"
"104","37.30367683","127.90699514","-47.667059","-55.211294","0.840436251","48.153450","25.774403","STRAIGHT","0","0","none","mission"
"105","37.30367850","127.90699702","-47.500378","-55.025176","0.840436251","48.153450","26.024247","STRAIGHT","0","0","none","mission"
"106","37.30368018","127.90699890","-47.333697","-54.839059","0.840436251","48.153450","26.274092","STRAIGHT","0","0","none","mission"
"107","37.30368186","127.90700078","-47.167017","-54.652941","0.840436251","48.153450","26.523936","STRAIGHT","0","0","none","mission"
"108","37.30368353","127.90700266","-47.000336","-54.466824","0.840436251","48.153450","26.773781","STRAIGHT","0","0","none","mission"
"109","37.30368521","127.90700454","-46.833655","-54.280706","0.840436251","48.153450","27.023625","STRAIGHT","0","0","none","mission"
"110","37.30368689","127.90700642","-46.666975","-54.094588","0.840436251","48.153450","27.273469","STRAIGHT","0","0","none","mission"
"111","37.30368857","127.90700830","-46.500294","-53.908471","0.840436251","48.153450","27.523314","STRAIGHT","0","0","none","mission"
"112","37.30369024","127.90701018","-46.333613","-53.722353","0.840436251","48.153450","27.773158","STRAIGHT","0","0","none","mission"
"113","37.30369192","127.90701206","-46.166933","-53.536235","0.840436251","48.153450","28.023003","STRAIGHT","0","0","none","mission"
"114","37.30369360","127.90701394","-46.000252","-53.350118","0.840436251","48.153450","28.272847","STRAIGHT","0","0","none","mission"
"115","37.30369527","127.90701582","-45.833571","-53.164000","0.840436251","48.153450","28.522692","STRAIGHT","0","0","none","mission"
"116","37.30369695","127.90701770","-45.666891","-52.977882","0.840436251","48.153450","28.772536","STRAIGHT","0","0","none","mission"
"117","37.30369863","127.90701958","-45.500210","-52.791765","0.840436251","48.153450","29.022380","STRAIGHT","0","0","none","mission"
"118","37.30370030","127.90702146","-45.333529","-52.605647","0.840436251","48.153450","29.272225","STRAIGHT","0","0","none","mission"
"119","37.30370198","127.90702334","-45.166849","-52.419529","0.840436251","48.153450","29.522069","STRAIGHT","0","0","none","mission"
"120","37.30370366","127.90702522","-45.000168","-52.233412","0.840436251","48.153450","29.771914","STRAIGHT","0","0","none","mission"
"121","37.30370534","127.90702710","-44.833487","-52.047294","0.840436251","48.153450","30.021758","STRAIGHT","0","0","none","mission"
"122","37.30370701","127.90702898","-44.666807","-51.861176","0.840436251","48.153450","30.271602","STRAIGHT","0","0","none","mission"
"123","37.30370869","127.90703086","-44.500126","-51.675059","0.840436251","48.153450","30.521447","STRAIGHT","0","0","none","mission"
"124","37.30371037","127.90703274","-44.333445","-51.488941","0.840436251","48.153450","30.771291","STRAIGHT","0","0","none","mission"
"125","37.30371204","127.90703462","-44.166765","-51.302824","0.840436251","48.153450","31.021136","STRAIGHT","0","0","none","mission"
