tick,event_time_ns,monotonic_ns,vehicle_speed,vehicle_speed_valid,external_stop,autonomous_enabled,lane_confidence,gps_valid,lidar_valid,avoid_updated,avoid_maneuver_done,avoid_path_n,avoid_generation,avoid_age_s,avoid_timeout_s,obstacle,avoidable,ttc,auto_estop,estop,parking_valid,parking_wall_complete,parking_ready,parking_search,parking_request_id,traffic_fail_safe,avoid_x,avoid_y,avoid_yaw,avoid_k,gps_x,gps_y,gps_heading_valid,rear_clear,red,green,traffic_stop_required
46,1789390336871685107,43235924225380,-3.880823749e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1789390336882018559,43235934558814,-3.880823749e-15,1,1,0,0,0,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1789390336891749531,43235944289786,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
49,1789390336901675902,43235954216168,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
50,1789390336911657642,43235964197918,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
51,1789390336923364900,43235975905176,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
52,1789390336933851557,43235986391829,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
53,1789390336941686756,43235994227030,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
54,1789390336952612439,43236005152715,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
55,1789390336964524393,43236017064664,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
56,1789390336971678862,43236024219138,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
57,1789390336981696668,43236034236942,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
58,1789390336995640008,43236048180279,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
59,1789390337002903763,43236055444030,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
60,1789390337012279297,43236064819568,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
61,1789390337021714657,43236074254926,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
62,1789390337031700941,43236084241208,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
63,1789390337041701305,43236094241575,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
64,1789390337051756845,43236104297115,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
65,1789390337061700279,43236114240554,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,0,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
