segment,index,map_x,map_y
parallel_single_front_arc_path,73,5.040896652917207,-0.18891434214775188
parallel_single_front_arc_path,74,5.090891585152884,-0.18962620642552191
parallel_single_front_arc_path,75,5.140886517388562,-0.19033807070329192
parallel_single_front_arc_path,76,5.19088144962424,-0.19104993498106193
parallel_single_front_arc_path,77,5.240876381859918,-0.19176179925883194
parallel_single_front_arc_path,78,5.290871314095596,-0.19247366353660195
parallel_single_front_arc_path,79,5.340866246331274,-0.19318552781437195
parallel_single_front_arc_path,80,5.3908611785669525,-0.19389739209214196
parallel_single_front_arc_path,81,5.44085611080263,-0.19460925636991197
parallel_single_front_arc_path,82,5.490851043038308,-0.19532112064768198
parallel_single_front_arc_path,83,5.540845975273986,-0.196032984925452
parallel_single_front_arc_path,84,5.590840907509664,-0.196744849203222
parallel_single_front_arc_path,85,5.640835839745342,-0.197456713480992
parallel_single_front_arc_path,86,5.69083077198102,-0.198168577758762
parallel_single_front_arc_path,87,5.740825704216698,-0.19888044203653202
parallel_single_front_arc_path,88,5.790820636452376,-0.19959230631430203
parallel_single_front_arc_path,89,5.840815568688054,-0.20030417059207203
parallel_single_front_arc_path,90,5.890810500923732,-0.20101603486984204
parallel_single_front_arc_path,91,5.94080543315941,-0.20172789914761205
parallel_single_front_arc_path,92,5.9908003653950885,-0.20243976342538206
parallel_single_front_arc_path,93,6.0407952976307655,-0.2031516277031521
parallel_single_front_arc_path,94,6.090790229866444,-0.2038634919809221
parallel_single_front_arc_path,95,6.140785162102122,-0.2045753562586921
parallel_single_front_arc_path,96,6.1907800943378,-0.20528722053646212
parallel_single_front_arc_path,97,6.240775026573478,-0.20599908481423213
parallel_single_front_arc_path,98,6.290769958809156,-0.20671094909200213
parallel_single_front_arc_path,99,6.340764891044834,-0.20742281336977214
parallel_single_front_arc_path,100,6.390759823280511,-0.20813467764754215
parallel_single_front_arc_path,101,6.44075475551619,-0.20884654192531216
parallel_single_front_arc_path,102,6.490749687751868,-0.20955840620308216
parallel_single_front_arc_path,103,6.540744619987546,-0.21027027048085217
parallel_single_rear_arc_path,0,-0.10118192790659553,1.7948735314912263
parallel_single_rear_arc_path,1,-0.05118699567091767,1.7941616672134562
parallel_single_rear_arc_path,2,-0.0011920634352398096,1.7934498029356862
parallel_single_rear_arc_path,3,0.04880286880043805,1.792737938657916
parallel_single_rear_arc_path,4,0.0987978010361168,1.7920260743801462
parallel_single_rear_arc_path,5,0.14879273327179465,1.7913142101023762
parallel_single_rear_arc_path,6,0.1987876655074725,1.790602345824606
parallel_single_rear_arc_path,7,0.24878259774315037,1.7898904815468362
parallel_single_rear_arc_path,8,0.2987775299788282,1.7891786172690662
parallel_single_rear_arc_path,9,0.3487724622145061,1.788466752991296
parallel_single_rear_arc_path,10,0.39876739445018394,1.7877548887135262
parallel_single_rear_arc_path,11,0.4487623266858627,1.787043024435756
parallel_single_rear_arc_path,12,0.49875725892154055,1.786331160157986
parallel_single_rear_arc_path,13,0.5487521911572184,1.7856192958802162
parallel_single_rear_arc_path,14,0.5987471233928963,1.784907431602446
parallel_single_rear_arc_path,15,0.6487420556285741,1.784195567324676
parallel_single_rear_arc_path,16,0.698736987864252,1.783483703046906
parallel_single_rear_arc_path,17,0.7487319200999307,1.782771838769136
parallel_single_rear_arc_path,18,0.7987268523356086,1.782059974491366
parallel_single_rear_arc_path,19,0.8487217845712864,1.781348110213596
parallel_single_rear_arc_path,20,0.8987167168069643,1.780636245935826
parallel_single_rear_arc_path,21,0.9921412736859061,1.7773551509701104
parallel_single_rear_arc_path,22,1.0853475735611218,1.7701788653172208
parallel_single_rear_arc_path,23,1.1781732834877632,1.7591198875698983
parallel_single_rear_arc_path,24,1.2704567333762489,1.7441974786195982
parallel_single_rear_arc_path,25,1.3620371975653152,1.725437628110715
parallel_single_rear_arc_path,26,1.4527551747501972,1.7028730091756683
parallel_single_rear_arc_path,27,1.5424526657784008,1.6765429215296705
parallel_single_rear_arc_path,28,1.6309734488292578,1.6464932230242983
parallel_single_rear_arc_path,29,1.7181633514979806,1.6127762497790725
parallel_single_rear_arc_path,30,1.8038705193103501,1.5754507250301428
parallel_single_rear_arc_path,31,1.887945680200375,1.5345816568548467
parallel_single_rear_arc_path,32,1.9702424044902944,1.4902402249502549
parallel_single_rear_arc_path,33,2.0506173599201287,1.4425036566629048
parallel_single_rear_arc_path,34,2.128930561282604,1.3914550924856337
parallel_single_rear_arc_path,35,2.2050456142286823,1.3371834412557664
parallel_single_rear_arc_path,36,2.278829952819057,1.2797832253068557
parallel_single_rear_arc_path,37,2.350155070407898,1.2193544158436653
parallel_single_rear_arc_path,38,2.418896743456716,1.156002258827112
parallel_single_rear_arc_path,39,2.4849352478885454,1.0898370916724238
parallel_single_rear_arc_path,40,2.5481555676056304,1.0209741510797494
parallel_single_rear_arc_path,41,2.6084475948074486,0.949533372331923
parallel_single_rear_arc_path,42,2.66570632176019,0.875639180408931
parallel_single_rear_arc_path,43,2.7198320236836953,0.7994202732828871
parallel_single_rear_arc_path,44,2.7479248136726557,0.7580585137623329
parallel_single_rear_arc_path,45,2.776017603661616,0.7166967542417787
parallel_single_rear_arc_path,46,2.804110393650577,0.6753349947212246
parallel_single_rear_arc_path,47,2.8322031836395376,0.6339732352006704
parallel_single_rear_arc_path,48,2.8602959736284985,0.5926114756801162
parallel_single_rear_arc_path,49,2.888388763617459,0.551249716159562
parallel_single_rear_arc_path,50,2.9164815536064195,0.5098879566390078
parallel_single_rear_arc_path,51,2.94457434359538,0.46852619711845356
parallel_single_rear_arc_path,52,2.972667133584341,0.42716443759789957
parallel_single_rear_arc_path,53,3.0007599235733013,0.38580267807734536
parallel_single_rear_arc_path,54,3.028852713562262,0.34444091855679115
parallel_single_rear_arc_path,55,3.0569455035512227,0.30307915903623694
parallel_single_rear_arc_path,56,3.085038293540183,0.26171739951568274
parallel_single_rear_arc_path,57,3.1131310835291437,0.22035563999512853
parallel_single_rear_arc_path,58,3.141223873518104,0.17899388047457432
parallel_single_rear_arc_path,59,3.169316663507065,0.13763212095402033
parallel_single_rear_arc_path,60,3.1974094534960256,0.09627036143346612
parallel_single_rear_arc_path,61,3.225502243484986,0.054908601912911914
parallel_single_rear_arc_path,62,3.253595033473947,0.013546842392357705
parallel_single_rear_arc_path,63,3.2816878234629074,-0.027814917128196504
parallel_reused_reference_path,0,0.3094264031749896,1.311384187942457
parallel_reused_reference_path,1,0.3578085956611296,1.310695287028486
parallel_reused_reference_path,2,0.4061907881472696,1.310006386114515
parallel_reused_reference_path,3,0.4545729806334096,1.309317485200544
parallel_reused_reference_path,4,0.5029551731195496,1.308628584286573
parallel_reused_reference_path,5,0.5513373656056897,1.307939683372602
