stamp_s,ref_x,ref_y,ref_yaw,ref_curvature,target_str,act_str,v_ref,act_v,dx,dy,dyaw
1788422549.6174486,1.0,0.0,0.0,0.0,0.0,-0.002171008847653866,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.6239018,1.0,0.0,0.0,0.0,0.0,-0.0023840616922825575,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.63465,1.0,0.0,0.0,0.0,0.0,-0.003049852093681693,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.6431637,1.0,0.0,0.0,0.0,0.0,-0.0029433255549520254,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.6539288,1.0,0.0,0.0,0.0,0.0,-0.0015052186790853739,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.6655903,1.0,0.0,0.0,0.0,0.0,-0.0007329019135795534,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.6729698,1.0,0.0,0.0,0.0,0.0,-0.0010791128734126687,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.6855168,1.0,0.0,0.0,0.0,0.0,-0.0018247979460284114,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.6933532,1.0,0.0,0.0,0.0,0.0,-0.0024373249616473913,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.704242,1.0,0.0,0.0,0.0,0.0,-0.0019313243683427572,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.7161813,1.0,0.0,0.0,0.0,0.0,-0.003103115363046527,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.722738,1.0,0.0,0.0,0.0,0.0,-0.0027569043450057507,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.7351422,1.0,0.0,0.0,0.0,0.0,-0.002703641075640917,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.7438223,1.0,0.0,0.0,0.0,0.0,-0.0016117451013997197,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.7529092,1.0,0.0,0.0,0.0,0.0,-0.0014253237750381231,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.768177,1.0,0.0,0.0,0.0,0.0,-0.0004665858286898583,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.7758484,1.0,0.0,0.0,0.0,0.0,-0.0016383767360821366,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.784112,1.0,0.0,0.0,0.0,0.0,-0.0011590076610445976,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.7937605,1.0,0.0,0.0,0.0,0.0,-0.002011219272390008,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.8045676,1.0,0.0,0.0,0.0,0.0,-0.0018514295807108283,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.8126733,1.0,0.0,0.0,0.0,0.0,-0.0018780612153932452,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.8246262,1.0,0.0,0.0,0.0,0.0,-0.0017449031583964825,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.832988,1.0,0.0,0.0,0.0,0.0,-0.0010524812387302518,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.8431265,1.0,0.0,0.0,0.0,0.0,-0.0019046928500756621,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.8527815,1.0,0.0,0.0,0.0,0.0,-0.0015851134667173028,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.8636634,1.0,0.0,0.0,0.0,0.0,-0.0015318503137677908,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.8737812,1.0,0.0,0.0,0.0,0.0,-0.0007595335482619703,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.8828077,1.0,0.0,0.0,0.0,0.0,-0.006139119155704975,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.8946295,1.0,0.0,0.0,0.0,0.0,-0.006112487521022558,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.9027956,1.0,0.0,0.0,0.0,0.0,-0.006485329940915108,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.9129956,1.0,0.0,0.0,0.0,0.0,-0.0033427998423576355,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.9255152,1.0,0.0,0.0,0.0,0.0,-0.0032895365729928017,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.9329338,1.0,0.0,0.0,0.0,0.0,-0.0040884846821427345,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.9437437,1.0,0.0,0.0,0.0,0.0,-0.002543851500377059,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.9566388,1.0,0.0,0.0,0.0,0.0,-0.0028367992490530014,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.9678197,1.0,0.0,0.0,0.0,0.0,-0.0027302727103233337,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.9727678,1.0,0.0,0.0,0.0,0.0,-0.0026770094409585,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.9856098,1.0,0.0,0.0,0.0,0.0,0.0017626180779188871,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422549.9974024,1.0,0.0,0.0,0.0,0.0,0.0008748977561481297,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.0028818,1.0,0.0,0.0,0.0,0.0,0.0014173935633152723,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.0132332,1.0,0.0,0.0,0.0,0.0,-0.002517219865694642,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.0228093,1.0,0.0,0.0,0.0,0.0,-0.0005464806454256177,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.033142,1.0,0.0,0.0,0.0,0.0,-0.000360059377271682,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.042695,1.0,0.0,0.0,0.0,0.0,-0.0013454289874061942,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
1788422550.0546536,1.0,0.0,0.0,0.0,0.0,-0.0016383767360821366,0.30000001192092896,-2.196450241129309e-15,0.0,0.0,0.0
